created_at,location,followers_count,text,client_platform,hashtags,retweet_count,favorite_count,long,lat
Sat Mar 26 01:23:40 +0000 2022,America,3518208,#15 St. Peter’s takes down #3 Purdue to become the first 15 seed to make the Elite 8 @stoolbenchmob https://t.co/l0vWc94CLS,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],542,5069,,
Fri Mar 25 21:48:06 +0000 2022,Mackey Arena,131513,"Tonight, we are wearing a patch on our shooting shirts in memory of Marine Capt. Matthew Tomkiewicz, a Fort Wayne n… https://t.co/a86trO3Ku7","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],200,1540,,
Sat Mar 26 01:26:34 +0000 2022,"Bristol, CT",1754901,Saint Peter’s is the ONLY team to win multiple games as a double-digit underdog in an NCAA Tournament since the tou… https://t.co/QMQfVMVxfL,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],264,994,,
Sat Mar 26 01:25:10 +0000 2022,IG: @nbapaints,139140,Saint Peter's upset Purdue. https://t.co/V1LFY7DSjZ,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],261,1685,,
Sat Mar 26 01:28:03 +0000 2022,America,3518208,"The rest of the country to Purdue fans @stoolbenchmob 
 https://t.co/mqoYjHJ0HJ","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],96,957,,
Sat Mar 26 01:18:06 +0000 2022,By the beach,309235,Clearly this is happening because Purdue plays in a weak conference,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",[],80,727,,
Sat Mar 26 00:35:39 +0000 2022,America,3518208,Purdue tonight  https://t.co/S7PKRML0da,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],85,1206,,
Thu Mar 24 16:25:19 +0000 2022,Indianapolis,100187,Longtime national college basketball writer @RobDauster leans over to me during the Purdue players’ press conferenc… https://t.co/ob3BuGAhJN,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],107,966,,
Fri Mar 25 10:10:00 +0000 2022,NYC,304951,"FRIDAY'S SWEET 16 GAMES:

Purdue/St. Peter's
UCLA/North Carolina
Kansas/Providence
Miami/Iowa State","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",[],77,1141,,
Sat Mar 26 01:37:11 +0000 2022,"Bristol, CT",1754901,"With Purdue's loss, the Big Ten's title drought continues. The conference's last national championship was Michigan… https://t.co/NJ5Y3kpaab","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],86,254,,
Sat Mar 26 01:25:14 +0000 2022,,1446406,I feel genuinely bad for Purdue. But when Jaden Ivey opted out of the sweet 16 for the draft you knew this could happen.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],104,2671,,
Fri Mar 25 23:56:32 +0000 2022,"The Bronx, NY",140472,If you’re rooting against Saint Peter’s that means you bet on Purdue or you’re literally a Purdue student,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],82,1417,,
Sat Mar 26 01:32:19 +0000 2022,hank@barstoolsports.com,719599,"Purdue trying to make it to the elite eight

Saint Peters: https://t.co/Q0saYUTf9e","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],108,1393,,
Sat Mar 26 01:23:21 +0000 2022,The Field,226787,How St. Peters baptized Purdue https://t.co/mhAQs9mR6r,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],687,3216,,
Sat Mar 26 01:23:32 +0000 2022,"Bristol, CT",1754901,Saint Peter's becomes the first team seeded 13 or higher to advance to the Elite Eight after defeating 3 seed Purdu… https://t.co/p06XMpV1XR,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],331,991,,
Sat Mar 26 01:23:40 +0000 2022,America,3518209,#15 St. Peter’s takes down #3 Purdue to become the first 15 seed to make the Elite 8 @stoolbenchmob https://t.co/l0vWc94CLS,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],542,5070,,
Fri Mar 25 21:48:06 +0000 2022,Mackey Arena,131513,"Tonight, we are wearing a patch on our shooting shirts in memory of Marine Capt. Matthew Tomkiewicz, a Fort Wayne n… https://t.co/a86trO3Ku7","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],200,1540,,
Sat Mar 26 01:26:34 +0000 2022,"Bristol, CT",1754901,Saint Peter’s is the ONLY team to win multiple games as a double-digit underdog in an NCAA Tournament since the tou… https://t.co/QMQfVMVxfL,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],264,994,,
Sat Mar 26 01:25:10 +0000 2022,IG: @nbapaints,139140,Saint Peter's upset Purdue. https://t.co/V1LFY7DSjZ,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],261,1687,,
Sat Mar 26 01:28:03 +0000 2022,America,3518209,"The rest of the country to Purdue fans @stoolbenchmob 
 https://t.co/mqoYjHJ0HJ","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],96,957,,
Sat Mar 26 01:18:06 +0000 2022,By the beach,309235,Clearly this is happening because Purdue plays in a weak conference,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",[],80,728,,
Sat Mar 26 00:35:39 +0000 2022,America,3518209,Purdue tonight  https://t.co/S7PKRML0da,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],85,1206,,
Thu Mar 24 16:25:19 +0000 2022,Indianapolis,100187,Longtime national college basketball writer @RobDauster leans over to me during the Purdue players’ press conferenc… https://t.co/ob3BuGAhJN,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],107,966,,
Fri Mar 25 10:10:00 +0000 2022,NYC,304950,"FRIDAY'S SWEET 16 GAMES:

Purdue/St. Peter's
UCLA/North Carolina
Kansas/Providence
Miami/Iowa State","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",[],77,1141,,
Sat Mar 26 01:37:11 +0000 2022,"Bristol, CT",1754901,"With Purdue's loss, the Big Ten's title drought continues. The conference's last national championship was Michigan… https://t.co/NJ5Y3kpaab","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],86,254,,
Sat Mar 26 01:25:14 +0000 2022,,1446406,I feel genuinely bad for Purdue. But when Jaden Ivey opted out of the sweet 16 for the draft you knew this could happen.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],104,2671,,
Fri Mar 25 23:56:32 +0000 2022,"The Bronx, NY",140472,If you’re rooting against Saint Peter’s that means you bet on Purdue or you’re literally a Purdue student,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],82,1418,,
Sat Mar 26 01:32:19 +0000 2022,hank@barstoolsports.com,719599,"Purdue trying to make it to the elite eight

Saint Peters: https://t.co/Q0saYUTf9e","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],108,1394,,
Sat Mar 26 01:23:21 +0000 2022,The Field,226787,How St. Peters baptized Purdue https://t.co/mhAQs9mR6r,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],687,3216,,
Sat Mar 26 01:23:32 +0000 2022,"Bristol, CT",1754901,Saint Peter's becomes the first team seeded 13 or higher to advance to the Elite Eight after defeating 3 seed Purdu… https://t.co/p06XMpV1XR,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],331,991,,
Sat Mar 26 01:23:40 +0000 2022,America,3518208,#15 St. Peter’s takes down #3 Purdue to become the first 15 seed to make the Elite 8 @stoolbenchmob https://t.co/l0vWc94CLS,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],542,5071,,
Fri Mar 25 21:48:06 +0000 2022,Mackey Arena,131513,"Tonight, we are wearing a patch on our shooting shirts in memory of Marine Capt. Matthew Tomkiewicz, a Fort Wayne n… https://t.co/a86trO3Ku7","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],200,1540,,
Sat Mar 26 01:26:34 +0000 2022,"Bristol, CT",1754901,Saint Peter’s is the ONLY team to win multiple games as a double-digit underdog in an NCAA Tournament since the tou… https://t.co/QMQfVMVxfL,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],264,994,,
Sat Mar 26 01:25:10 +0000 2022,IG: @nbapaints,139140,Saint Peter's upset Purdue. https://t.co/V1LFY7DSjZ,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],262,1688,,
Sat Mar 26 01:28:03 +0000 2022,America,3518208,"The rest of the country to Purdue fans @stoolbenchmob 
 https://t.co/mqoYjHJ0HJ","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],96,957,,
Sat Mar 26 01:18:06 +0000 2022,By the beach,309235,Clearly this is happening because Purdue plays in a weak conference,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",[],80,728,,
Sat Mar 26 00:35:39 +0000 2022,America,3518208,Purdue tonight  https://t.co/S7PKRML0da,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],85,1206,,
Thu Mar 24 16:25:19 +0000 2022,Indianapolis,100187,Longtime national college basketball writer @RobDauster leans over to me during the Purdue players’ press conferenc… https://t.co/ob3BuGAhJN,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],107,966,,
Fri Mar 25 10:10:00 +0000 2022,NYC,304951,"FRIDAY'S SWEET 16 GAMES:

Purdue/St. Peter's
UCLA/North Carolina
Kansas/Providence
Miami/Iowa State","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",[],77,1141,,
Sat Mar 26 01:37:11 +0000 2022,"Bristol, CT",1754901,"With Purdue's loss, the Big Ten's title drought continues. The conference's last national championship was Michigan… https://t.co/NJ5Y3kpaab","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],86,254,,
Sat Mar 26 01:25:14 +0000 2022,,1446406,I feel genuinely bad for Purdue. But when Jaden Ivey opted out of the sweet 16 for the draft you knew this could happen.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],104,2671,,
Fri Mar 25 23:56:32 +0000 2022,"The Bronx, NY",140472,If you’re rooting against Saint Peter’s that means you bet on Purdue or you’re literally a Purdue student,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],82,1418,,
Sat Mar 26 01:32:19 +0000 2022,hank@barstoolsports.com,719599,"Purdue trying to make it to the elite eight

Saint Peters: https://t.co/Q0saYUTf9e","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],108,1394,,
Sat Mar 26 01:23:21 +0000 2022,The Field,226679,How St. Peters baptized Purdue https://t.co/mhAQs9mR6r,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],687,3216,,
Sat Mar 26 01:26:34 +0000 2022,"Bristol, CT",1754884,Saint Peter’s is the ONLY team to win multiple games as a double-digit underdog in an NCAA Tournament since the tou… https://t.co/QMQfVMVxfL,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],264,994,,
Sat Mar 26 01:23:32 +0000 2022,"Bristol, CT",1754884,Saint Peter's becomes the first team seeded 13 or higher to advance to the Elite Eight after defeating 3 seed Purdu… https://t.co/p06XMpV1XR,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],331,991,,
Sat Mar 26 01:23:40 +0000 2022,America,3518026,#15 St. Peter’s takes down #3 Purdue to become the first 15 seed to make the Elite 8 @stoolbenchmob https://t.co/l0vWc94CLS,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],542,5071,,
Fri Mar 25 21:48:06 +0000 2022,Mackey Arena,131497,"Tonight, we are wearing a patch on our shooting shirts in memory of Marine Capt. Matthew Tomkiewicz, a Fort Wayne n… https://t.co/a86trO3Ku7","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],200,1540,,
Sat Mar 26 01:25:10 +0000 2022,IG: @nbapaints,139133,Saint Peter's upset Purdue. https://t.co/V1LFY7DSjZ,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],262,1688,,
Sat Mar 26 01:28:03 +0000 2022,America,3518026,"The rest of the country to Purdue fans @stoolbenchmob 
 https://t.co/mqoYjHJ0HJ","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],96,957,,
Sat Mar 26 01:18:06 +0000 2022,By the beach,309229,Clearly this is happening because Purdue plays in a weak conference,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",[],80,728,,
Sat Mar 26 00:35:39 +0000 2022,America,3518026,Purdue tonight  https://t.co/S7PKRML0da,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],85,1206,,
Sat Mar 26 01:37:11 +0000 2022,"Bristol, CT",1754884,"With Purdue's loss, the Big Ten's title drought continues. The conference's last national championship was Michigan… https://t.co/NJ5Y3kpaab","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],86,254,,
Thu Mar 24 16:25:19 +0000 2022,Indianapolis,100190,Longtime national college basketball writer @RobDauster leans over to me during the Purdue players’ press conferenc… https://t.co/ob3BuGAhJN,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],107,968,,
Fri Mar 25 10:10:00 +0000 2022,NYC,304934,"FRIDAY'S SWEET 16 GAMES:

Purdue/St. Peter's
UCLA/North Carolina
Kansas/Providence
Miami/Iowa State","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",[],77,1142,,
Sat Mar 26 01:25:14 +0000 2022,,1446269,I feel genuinely bad for Purdue. But when Jaden Ivey opted out of the sweet 16 for the draft you knew this could happen.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],104,2671,,
Fri Mar 25 23:56:32 +0000 2022,"The Bronx, NY",140465,If you’re rooting against Saint Peter’s that means you bet on Purdue or you’re literally a Purdue student,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],82,1418,,
Sat Mar 26 01:32:19 +0000 2022,hank@barstoolsports.com,719575,"Purdue trying to make it to the elite eight

Saint Peters: https://t.co/Q0saYUTf9e","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],108,1394,,
Sat Mar 26 01:23:21 +0000 2022,The Field,226679,How St. Peters baptized Purdue https://t.co/mhAQs9mR6r,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],687,3217,,
Sat Mar 26 01:26:34 +0000 2022,"Bristol, CT",1754884,Saint Peter’s is the ONLY team to win multiple games as a double-digit underdog in an NCAA Tournament since the tou… https://t.co/QMQfVMVxfL,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],264,994,,
Sat Mar 26 01:23:32 +0000 2022,"Bristol, CT",1754884,Saint Peter's becomes the first team seeded 13 or higher to advance to the Elite Eight after defeating 3 seed Purdu… https://t.co/p06XMpV1XR,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],331,991,,
Sat Mar 26 01:23:40 +0000 2022,America,3518026,#15 St. Peter’s takes down #3 Purdue to become the first 15 seed to make the Elite 8 @stoolbenchmob https://t.co/l0vWc94CLS,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],542,5071,,
Fri Mar 25 21:48:06 +0000 2022,Mackey Arena,131497,"Tonight, we are wearing a patch on our shooting shirts in memory of Marine Capt. Matthew Tomkiewicz, a Fort Wayne n… https://t.co/a86trO3Ku7","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],200,1540,,
Sat Mar 26 01:25:10 +0000 2022,IG: @nbapaints,139133,Saint Peter's upset Purdue. https://t.co/V1LFY7DSjZ,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],262,1688,,
Sat Mar 26 01:28:03 +0000 2022,America,3518026,"The rest of the country to Purdue fans @stoolbenchmob 
 https://t.co/mqoYjHJ0HJ","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],96,957,,
Sat Mar 26 01:18:06 +0000 2022,By the beach,309229,Clearly this is happening because Purdue plays in a weak conference,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",[],80,728,,
Sat Mar 26 00:35:39 +0000 2022,America,3518026,Purdue tonight  https://t.co/S7PKRML0da,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],85,1206,,
Sat Mar 26 01:37:11 +0000 2022,"Bristol, CT",1754884,"With Purdue's loss, the Big Ten's title drought continues. The conference's last national championship was Michigan… https://t.co/NJ5Y3kpaab","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],86,254,,
Thu Mar 24 16:25:19 +0000 2022,Indianapolis,100190,Longtime national college basketball writer @RobDauster leans over to me during the Purdue players’ press conferenc… https://t.co/ob3BuGAhJN,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],107,968,,
Fri Mar 25 10:10:00 +0000 2022,NYC,304934,"FRIDAY'S SWEET 16 GAMES:

Purdue/St. Peter's
UCLA/North Carolina
Kansas/Providence
Miami/Iowa State","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",[],77,1142,,
Sat Mar 26 01:25:14 +0000 2022,,1446269,I feel genuinely bad for Purdue. But when Jaden Ivey opted out of the sweet 16 for the draft you knew this could happen.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],104,2672,,
Fri Mar 25 23:56:32 +0000 2022,"The Bronx, NY",140465,If you’re rooting against Saint Peter’s that means you bet on Purdue or you’re literally a Purdue student,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],82,1418,,
Sat Mar 26 01:32:19 +0000 2022,hank@barstoolsports.com,719575,"Purdue trying to make it to the elite eight

Saint Peters: https://t.co/Q0saYUTf9e","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],108,1395,,
Sat Mar 26 01:23:21 +0000 2022,The Field,226679,How St. Peters baptized Purdue https://t.co/mhAQs9mR6r,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],687,3218,,
